Channel Id,Channel Url,Channel Title
UC-CSyyi47VX1lD9zyeABW3w,http://www.youtube.com/channel/UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee
UC-Q78BOXvCDGy9RjlNECisg,http://www.youtube.com/channel/UC-Q78BOXvCDGy9RjlNECisg,Smoky Chicken
UC-e2XM113h64dt6ys6UU8aw,http://www.youtube.com/channel/UC-e2XM113h64dt6ys6UU8aw,Sagar Samrat
UC4GW5WspUxQi9QsU-6doyng,http://www.youtube.com/channel/UC4GW5WspUxQi9QsU-6doyng,Amit Das 2
UC5fcjujOsqD-126Chn_BAuA,http://www.youtube.com/channel/UC5fcjujOsqD-126Chn_BAuA,Sarthak Goswami
UCBwmMxybNva6P_5VmxjzwqA,http://www.youtube.com/channel/UCBwmMxybNva6P_5VmxjzwqA,Apna College
UCCJsQKOKArvDksacfT2ryQw,http://www.youtube.com/channel/UCCJsQKOKArvDksacfT2ryQw,World Affairs by Unacademy
UCIIltf5lw6Wx54TZCNa5gwg,http://www.youtube.com/channel/UCIIltf5lw6Wx54TZCNa5gwg,Sunday Bharat Vlogs
UCIwFjwMjI0y7PDBVEO9-bkQ,http://www.youtube.com/channel/UCIwFjwMjI0y7PDBVEO9-bkQ,Justin Bieber
UCJqx8MM4gDPDy8TqVVlPyLw,http://www.youtube.com/channel/UCJqx8MM4gDPDy8TqVVlPyLw,Arsh Goyal
UCKObj2mykVrzYhmEBAVAf6Q,http://www.youtube.com/channel/UCKObj2mykVrzYhmEBAVAf6Q,RaNdOm YT
UCL77mMHDQV_D2DixeqD1Tyg,http://www.youtube.com/channel/UCL77mMHDQV_D2DixeqD1Tyg,@Khan Sir Patna
UCLLeXggszHOmiqyKTYwOp2Q,http://www.youtube.com/channel/UCLLeXggszHOmiqyKTYwOp2Q,Safarnama with Meraj
UCMPwTpEtevOrmO2AYtVBYNg,http://www.youtube.com/channel/UCMPwTpEtevOrmO2AYtVBYNg,Team Eleven
UCSzTQhR_njcpIwTwLxngB3A,http://www.youtube.com/channel/UCSzTQhR_njcpIwTwLxngB3A,Damn Delicious by Sandeep Pandey
UCVE3f6KA6N56xW4m9i662yw,http://www.youtube.com/channel/UCVE3f6KA6N56xW4m9i662yw,Abhishek Walia
UCWNfGTMI1JHmvRbz15x6nEw,http://www.youtube.com/channel/UCWNfGTMI1JHmvRbz15x6nEw,Karan Nawani
UCatL-c6pmnjzEOHSyjn-sHA,http://www.youtube.com/channel/UCatL-c6pmnjzEOHSyjn-sHA,Khan GS Research Centre
UCbuj4kbjP05NLiWUbpSuBPw,http://www.youtube.com/channel/UCbuj4kbjP05NLiWUbpSuBPw,Monkey Magic
UCdC0An4ZPNr_YiFiYoVbwaw,http://www.youtube.com/channel/UCdC0An4ZPNr_YiFiYoVbwaw,Daily Dose Of Internet
UCeP5_FL11TnvXuvrFvALJyA,http://www.youtube.com/channel/UCeP5_FL11TnvXuvrFvALJyA,Gaurav Kapoor
UCeVMnSShP_Iviwkknt83cww,http://www.youtube.com/channel/UCeVMnSShP_Iviwkknt83cww,CodeWithHarry
UCf2G6jDbJI3s0d5U-N9fqzg,http://www.youtube.com/channel/UCf2G6jDbJI3s0d5U-N9fqzg,Aman Panotra
UChhGJONwU_9ODfq5oy1dUaQ,http://www.youtube.com/channel/UChhGJONwU_9ODfq5oy1dUaQ,HowAboutBeirut
UCiJUp_NBW2D_UMQIvq2nlPg,http://www.youtube.com/channel/UCiJUp_NBW2D_UMQIvq2nlPg,Zach King Compilations
UCjNgqJ_FMLntYVzq7daw1TQ,http://www.youtube.com/channel/UCjNgqJ_FMLntYVzq7daw1TQ,Dhruv Rathee Vlogs
UCkrtAaoos4rxt2cw2CIBjuA,http://www.youtube.com/channel/UCkrtAaoos4rxt2cw2CIBjuA,Vikas Divyakirti
UClAxwlptNEzwAyj99J_3qLQ,http://www.youtube.com/channel/UClAxwlptNEzwAyj99J_3qLQ,Saddam Hossain
UCllSh_d1Brc9PLypjhm1_YA,http://www.youtube.com/channel/UCllSh_d1Brc9PLypjhm1_YA,Swati Sachdeva
UCmQCEVKEYpKxG8NwXnfIbCw,http://www.youtube.com/channel/UCmQCEVKEYpKxG8NwXnfIbCw,Jaspreet Singh
UCnzTvgqX77zZBJ5mji5bi7w,http://www.youtube.com/channel/UCnzTvgqX77zZBJ5mji5bi7w,Sachin Tendulkar
UCoxPghkIDTPxtgZV4Zx8tMw,http://www.youtube.com/channel/UCoxPghkIDTPxtgZV4Zx8tMw,yatri doctor
UCpXwMqnXfJzazKS5fJ8nrVw,http://www.youtube.com/channel/UCpXwMqnXfJzazKS5fJ8nrVw,shiey
UCq8DICunczvLuJJq414110A,http://www.youtube.com/channel/UCq8DICunczvLuJJq414110A,Zach King
UCqZQJ4600a9wIfMPbYc60OQ,http://www.youtube.com/channel/UCqZQJ4600a9wIfMPbYc60OQ,Lesics
UCsDWHhhHhsBqSGm_v4I0qVQ,http://www.youtube.com/channel/UCsDWHhhHhsBqSGm_v4I0qVQ,Arpit Bala
UCs_ineLBnNTGjrArNzjSLZg,http://www.youtube.com/channel/UCs_ineLBnNTGjrArNzjSLZg,Zem TV
UCtgGOdTlM-NdJ9rPKIYN8UQ,http://www.youtube.com/channel/UCtgGOdTlM-NdJ9rPKIYN8UQ,Slayy Point
UCtpDorOuxwQ1URGQ0WLIXmQ,http://www.youtube.com/channel/UCtpDorOuxwQ1URGQ0WLIXmQ,Dino James
UCxMDGaw3tMLHdH-ZUU4173A,http://www.youtube.com/channel/UCxMDGaw3tMLHdH-ZUU4173A,Rajat chauhan





